760,Howard,1.0,sheldon,26
761,Howard,1.0,go,20
762,Howard,1.0,know,17
763,Howard,1.0,leonard,17
764,Howard,1.0,look,14
765,Howard,1.0,right,13
766,Howard,1.0,time,13
767,Howard,1.0,back,12
768,Howard,1.0,one,12
769,Howard,1.0,think,11
770,Howard,1.0,come,11
771,Howard,1.0,need,11
772,Howard,1.0,little,10
773,Howard,1.0,take,10
774,Howard,1.0,see,9
775,Howard,2.0,go,38
776,Howard,2.0,know,31
777,Howard,2.0,one,31
778,Howard,2.0,sheldon,29
779,Howard,2.0,leonard,24
780,Howard,2.0,let,24
781,Howard,2.0,come,19
782,Howard,2.0,look,19
783,Howard,2.0,little,19
784,Howard,2.0,raj,19
785,Howard,2.0,right,18
786,Howard,2.0,want,18
787,Howard,2.0,take,18
788,Howard,2.0,penny,17
789,Howard,2.0,say,17
790,Howard,3.0,right,39
791,Howard,3.0,know,37
792,Howard,3.0,want,26
793,Howard,3.0,go,25
794,Howard,3.0,bernadette,25
795,Howard,3.0,sheldon,24
796,Howard,3.0,come,22
797,Howard,3.0,leonard,20
798,Howard,3.0,let,19
799,Howard,3.0,one,19
800,Howard,3.0,look,18
801,Howard,3.0,tell,18
802,Howard,3.0,little,17
803,Howard,3.0,say,16
804,Howard,3.0,see,16
805,Howard,4.0,know,36
806,Howard,4.0,go,32
807,Howard,4.0,raj,25
808,Howard,4.0,see,24
809,Howard,4.0,sheldon,22
810,Howard,4.0,think,22
811,Howard,4.0,one,20
812,Howard,4.0,right,19
813,Howard,4.0,bernadette,19
814,Howard,4.0,mother,17
815,Howard,4.0,let,16
816,Howard,4.0,really,15
817,Howard,4.0,time,15
818,Howard,4.0,mean,15
819,Howard,4.0,us,14
820,Howard,5.0,go,33
821,Howard,5.0,right,32
822,Howard,5.0,know,31
823,Howard,5.0,want,27
824,Howard,5.0,really,26
825,Howard,5.0,one,23
826,Howard,5.0,bernadette,20
827,Howard,5.0,back,19
828,Howard,5.0,see,19
829,Howard,5.0,sheldon,19
830,Howard,5.0,come,19
831,Howard,5.0,let,17
832,Howard,5.0,good,17
833,Howard,5.0,space,17
834,Howard,5.0,little,16
835,Howard,6.0,know,53
836,Howard,6.0,go,36
837,Howard,6.0,space,31
838,Howard,6.0,really,28
839,Howard,6.0,right,26
840,Howard,6.0,come,25
841,Howard,6.0,one,25
842,Howard,6.0,sheldon,23
843,Howard,6.0,back,22
844,Howard,6.0,little,22
845,Howard,6.0,want,20
846,Howard,6.0,think,19
847,Howard,6.0,tell,18
848,Howard,6.0,guys,18
849,Howard,6.0,great,17
850,Howard,7.0,know,44
851,Howard,7.0,go,30
852,Howard,7.0,want,25
853,Howard,7.0,really,18
854,Howard,7.0,mom,18
855,Howard,7.0,bernadette,17
856,Howard,7.0,sheldon,17
857,Howard,7.0,little,17
858,Howard,7.0,one,16
859,Howard,7.0,think,16
860,Howard,7.0,time,16
861,Howard,7.0,look,15
862,Howard,7.0,say,15
863,Howard,7.0,sorry,16
864,Howard,7.0,without,15
865,Howard,8.0,know,43
866,Howard,8.0,one,33
867,Howard,8.0,right,30
868,Howard,8.0,mother,20
869,Howard,8.0,think,20
870,Howard,8.0,want,19
871,Howard,8.0,say,18
872,Howard,8.0,go,18
873,Howard,8.0,let,15
874,Howard,8.0,take,14
875,Howard,8.0,time,14
876,Howard,8.0,good,14
877,Howard,8.0,us,13
878,Howard,8.0,mean,13
879,Howard,8.0,come,13
880,Howard,9.0,know,46
881,Howard,9.0,really,26
882,Howard,9.0,think,24
883,Howard,9.0,want,24
884,Howard,9.0,right,23
885,Howard,9.0,make,21
886,Howard,9.0,go,19
887,Howard,9.0,let,17
888,Howard,9.0,one,16
889,Howard,9.0,us,16
890,Howard,9.0,say,15
891,Howard,9.0,look,15
892,Howard,9.0,mean,14
893,Howard,9.0,wait,13
894,Howard,9.0,way,13
895,Howard,10.0,know,43
896,Howard,10.0,right,28
897,Howard,10.0,want,24
898,Howard,10.0,go,24
899,Howard,10.0,maybe,23
900,Howard,10.0,us,22
901,Howard,10.0,great,18
902,Howard,10.0,one,17
903,Howard,10.0,baby,17
904,Howard,10.0,make,15
905,Howard,10.0,look,15
906,Howard,10.0,say,14
907,Howard,10.0,think,14
908,Howard,10.0,sheldon,14
909,Howard,10.0,see,14
